claimlosscause,tpvehicledamage,tpvehicletowed,tpvehicledriveable,tpvehicletotalloss,tpvehiclerecovered,ivehicledamage,ivehicletowed,ivehicledriveable,ivehicletotalloss,ivehiclerecovered,trt__ivehicledamage,trt__ivehicledriveable,trt__ivehiclerecovered,trt__ivehicletotalloss,trt__ivehicletowed,trt__tpvehicledamage,trt__tpvehicledriveable,trt__tpvehiclerecovered,trt__tpvehicletotalloss,trt__tpvehicletowed,claimdecision,claimliability,claimlodgemethod,policyproducttype,policychannel,policypremiumbilling,new__claimdecision,new__claimliability,new__claimlodgemethod,new__policychannel,new__policypremiumbilling,new__policyproducttype,savings,claimid,claimstatus,claimcatastrophecode,claimcatastrophedesc,claimlosssuburb,claimlossstate,cls,claimincidentdescription,claimpolicenotified,claimpolicedate,claimpolicetime,claimfirenotified,claimreserve,claimexcesstotal,claimexcessapplicable,claimexcesswaived,policybrand,policystatus,policylob,policytype,policybillingrenewal,policyalterations,riskmotoragreedvalue,riskmotormarketvalue,risksuburb,riskstate,risksuminsured,riskmotorpurchaseprice,tpvehicleyear,tpvehicledriverage,ivehicleyear,ivehicledriverage,insured_parties,tp_parties,tp_parties_var,ActivityOwner,AdditionalInsured,Agent,AlternateContact,AnimalOwner,AppointmentContact,AssessmentLocation,Assessor,Broker,CaseManager,Claimant,ClaimantDependent,Complainant,Cyclist,DefenceBarrister,DefenceLawFirm,Defendant,Driver,Employee,Employer,Engineer,Executor,ExternalAssessor,Financier,FormerInsured,HireCarAgency,ImpactParty,IncidentParty,Informant,InjuredParty,Insured,InsuredRepresentative,Interestedparty,Investigator,LawEnforcementAgency,LegalCaseManager,ListedDriver,MainContact,MakeSafeProviderGeneralBuilder,Mortgagee,MotorRepairShop,NegotiationContact,Neighbour,Observer,Occupant,Other,OtherInsurer,Owner,OwningAgency,Passenger,Payee,Pedestrian,Plaintiff,PlaintiffLawFirm,PlaintiffsAttorney,Powerofattorney,PrimaryAssessor,RealEstateAgent,RecoveryAgent,RecoveryOnBehalfOf,RecoveryPayer,RepairShop,Repairer,Reporter,ResponsibleParty,ResponsiblePartyForIncident,SalvageService,ServiceProvider,SharpAgency,Supervisor,Supplier,Suspect,Swimmer,TPSettlementParty,Tenant,ThirdPartyInsurer,TowingAgency,TransportCarrier,UnitOwner,Vendor,Witness,claim_lag_losslodge,claim_lag_lossinception,claim_lag_lossalteration,fraud_class,prev_claims,POLICYINCEPTIONDATE,POLICYEXPIRYDATE,POLICYNBRCLAIMS,flag_claimpolicenotified,flag_claimfirenotified,flag_ivehicledriveable,flag_trt_ivehicledriveable,flag_trt_tpvehicledriveable,flag_prev_claims,flag_trt_ivehicletotalloss,flag_trt_tpvehicletotalloss,flag_newclaimlodgemethod_phone,new_claimlodgemethod_make,flag_aggclaimlosscause_driving,flag_aggclaimlosscause_parked,flag_aggclaimlosscause_theft,flag_aggclaimlosscause_hazard,flag_motorrepairshop,flag_salvageservice,flag_towingagency,alternate_fraud_class,flag_trt_tpvehicliedriveable,flag_trt_ivehicledamage,flag_trt_tpvehicledamage,flag_claimexcesswaived,flag_clsStat
Theft,,,,,,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Accept,Not at Fault,Phone,,DIRECT,Monthly,Accept,Not at Fault,Phone,DIRECT,Monthly,Motor Comprehensive,0,6148331,Closed,,,BOUVARD,WA,Theft of vehicle,My son and his friends went to the beach. My son was playing on a mates motorbike when he had an accident resulting in his brother taking him to the hospital due to a broken arm. Due to this the car was left it parked at the beach. One of my son's friends took the vehicle and advised another friend he was intending on taking care of the car while my son was in hospital. A few days later the police notified us that the car was in a high sp,Yes,NA,NA,No,9667.2,400,400,No,Vero Corpo,In force,Personal Insurance,Personal auto,"Automatic",0,8000,0,ERSKINE,WA,8000,0,0,0,2004,20.08,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,72484,142,223,0,yes,7/5/2013,7/5/2014,0,1,0,0,0,0,1,1,0,1,NA,0,0,1,0,0,0,0,1,0,1,0,0,0
Damage Whilst Parked,,,,,,Yes,No,Yes,No,,Yes,Yes,No,No,No,No,No,No,No,No,Accept,Not at Fault,Phone,Motor Comprehensive,DIRECT,Monthly,Accept,Not at Fault,Phone,DIRECT,Monthly,Motor Comprehensive,0,6148372,Closed,,,KENWICK,WA,Malicious damage,I just parked my car in the driveway. I've heard scratching sounds the night before but I did not go out. The next day when I checked my car_ I have seen the damages and scratches all over it.   IV POI: entire car   TP POI: none,No,NA,NA,No,0,450,450,No,AAMI,In force,Personal Insurance,Personal auto,"Automatic",0,10100,0,KENWICK,WA,10100,0,0,0,2006,29.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77709,4,361,0,yes,11/16/2013,11/16/2014,0,0,0,1,1,0,1,0,0,1,NA,0,1,0,0,1,0,0,1,0,1,0,0,0
Damage Whilst Driven,,,,,,Yes,No,No,Yes,,Yes,No,No,Yes,No,No,No,No,No,No,Accept,At Fault,Phone,Motor Comprehensive,INTERNET,Monthly,Accept,At Fault,Phone,INTERNET,Monthly,Motor Comprehensive,0,6148429,Closed,,,FOREST HILL,VIC,Collision with Stationary Object,My car was stationary. My car went to reverse_ I did not break. It collided with the  gate.    POI IV  Front DS Door and Front Quarter Panel,No,NA,NA,No,2104.98,720,720,No,AAMI,In force,Personal Insurance,Personal auto,"Automatic",0,2800,0,FOREST HILL,VIC,2800,2800,0,0,2000,31.92,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,572,3,362,0,yes,1/10/2014,1/10/2015,0,0,0,0,0,0,1,1,0,1,NA,1,0,0,0,0,0,1,1,0,1,0,0,1
Damage Whilst Driven,Yes,No,Yes,No,,Yes,No,Yes,No,,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Withou,At Fault,Phone,Motor Comprehensive,DIRECT,Monthly,Withou,At Fault,Phone,DIRECT,Monthly,Motor Comprehensive,4150,6148462,Closed,,,EDENSOR PARK,NSW,Insured Failed Right of Way,I was making a u-turn and failed to see a car coming from behind.    IV POI: DS doors  TPV POI: Front bumper,No,NA,NA,No,0,850,850,No,GIO,In force,Personal Insurance,Personal auto,"Automatic",0,1650,0,WESTMEAD,NSW,1650,0,1996,18.85,1997,27.48,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,7,358,0,yes,1/6/2014,1/6/2015,0,0,0,1,1,1,1,0,0,1,NA,1,0,0,0,0,0,0,1,1,1,1,0,0
Damage Whilst Driven,Yes,No,Yes,No,,Yes,No,Yes,No,,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Accept,Not at Fault,Phone,Motor Comprehensive,INTERNET,Annual,Accept,Not at Fault,Phone,INTERNET,Annual,Motor Comprehensive,0,6148583,Closed,,,ASCOT PARK,SA,Insured Hit in Rear by Third Party,I was stationary at the traffic and the car behind me ran into the rear bumper of my car with his front bumper.    POI IV: rear bumper  POI TP: front bumper,Yes,1/13/2014,57600,No,422.82,450,0,No,AAMI,In force,Personal Insurance,Personal auto,"Automatic",0,17000,0,STURT,SA,17000,0,2009,0,2010,51.53,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477,1,364,0,yes,1/12/2014,1/12/2015,0,1,0,1,1,1,1,0,0,1,NA,1,0,0,0,0,0,0,1,1,1,1,0,0
Damage Whilst Driven,,,,,,Yes,Yes,No,Yes,,Yes,No,No,Yes,Yes,No,No,No,No,No,Accept,At Fault,Phone,Motor Comprehensive,INTERNET,Annual,Accept,At Fault,Phone,INTERNET,Annual,Motor Comprehensive,0,6148693,Closed,,,LAVERTON,VIC,Collision with Stationary Object,I was travelling towards Geelong and have gone to move into the left lane_ have realised there was someone in my blind spot and have swerved back into my lane but have lost control of the veh and gone off the road and onto the median strip in the middle.,No,NA,NA,No,7035.9,625,625,No,AAMI,In force,Personal Insurance,Personal auto,"Automatic",0,7500,0,MILL PARK,VIC,7500,0,0,0,2001,64.19,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4631,107,258,0,yes,9/25/2013,9/25/2014,0,0,0,0,0,0,1,1,0,1,NA,1,0,0,0,0,1,1,1,0,1,0,0,1
Theft,,,,,,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Reject,Not at Fault,Phone,Motor Comprehensive,DIRECT,Monthly,Reject,Not at Fault,Phone,DIRECT,Monthly,Motor Comprehensive,10919.22,6148710,Closed,,,BRACKEN RIDGE,QLD,Theft of vehicle,The police notified me that my car had been stolen and was discovered burnt out just outside of Brisbane. I had left the vehicle at my friend's house.    POI IV - Theft,Yes,NA,NA,No,893.64,600,600,No,Suncorp,In force,Personal Insurance,Personal auto,"Automatic",0,12000,0,BALD HILLS,QLD,12000,0,0,0,2005,42.86,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,333,27,338,1,yes,12/17/2013,12/17/2014,0,1,0,0,0,0,1,1,0,1,NA,0,0,1,0,0,0,1,0,0,1,0,0,0
Damage Whilst Driven,,,,,,Yes,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,Accept,At Fault,Phone,Motor Comprehensive,DIRECT,Monthly,Accept,At Fault,Phone,DIRECT,Monthly,Motor Comprehensive,5580.85,6148713,Closed,,,EPPING,VIC,Third Party Hit in Rear by Insured,The car was being driven by my technician and he said that the car in front of him abruply stopped and ran into the back of the other car.    POI IV: front bumper_ bonnet_ radiator  POI TP: tow bar,No,NA,NA,No,6170.19,2025,625,No,AAMI,In force,Personal Insurance,Personal auto,"Automatic",0,25600,0,MULGRAVE,VIC,25600,0,0,0,2010,25.37,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,320,45,0,yes,2/27/2013,2/27/2014,0,0,0,0,0,0,1,0,0,1,NA,1,0,0,0,0,0,0,1,0,1,0,0,0
Damage Whilst Driven,,,,,,Yes,No,Yes,Yes,,Yes,Yes,No,Yes,No,No,No,No,No,No,Accept,At Fault,Phone,Motor Comprehensive,INTERNET,Monthly,Accept,At Fault,Phone,INTERNET,Monthly,Motor Comprehensive,0,6148743,Closed,,,SANDY POINT,NSW,Collision with Stationary Object,IO was driving when he has hit some dirt/gravel lost control and went across the rd and impacted some trees,Yes,NA,NA,No,3136.72,720,720,No,AAMI,In force,Personal Insurance,Personal auto,"Automatic",0,3500,0,WATTLE GROVE,NSW,3500,0,0,0,1998,33.8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,75,290,0,yes,10/30/2013,10/30/2014,0,1,0,1,1,0,1,1,0,1,NA,1,0,0,0,0,1,0,1,0,1,0,0,1
Damage Whilst Parked,,,,,,Yes,No,Yes,No,,Yes,Yes,No,No,No,No,No,No,No,No,Accept,Not at Fault,Phone,Motor Comprehensive,DIRECT,Monthly,Accept,Not at Fault,Phone,DIRECT,Monthly,Motor Comprehensive,0,6148764,Closed,,,QUINNS ROCKS,WA,Malicious damage,My car was parked on the driveway. Someone used a screw driver to damage the lock and eventually smashed the front window. The black handbag was stolen.     poi iv - front driver side window _ d/s rear guard_ d/s door lock,Yes,NA,NA,No,2017.63,450,450,No,AAMI,In force,Personal Insurance,Personal auto,"Automatic",0,4000,0,QUINNS ROCKS,WA,4000,2000,0,0,2004,20,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573,6,359,0,yes,1/7/2014,1/7/2015,0,1,0,1,1,0,1,0,0,1,NA,0,1,0,0,0,0,0,1,0,1,0,0,0
Damage Whilst Driven,,,,,,Yes,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,Accept,At Fault,Phone,Motor Comprehensive,DIRECT,Monthly,Accept,At Fault,Phone,DIRECT,Monthly,Motor Comprehensive,0,6148769,Closed,,,CONDAMINE,QLD,Collision with Stationary Object,The front driver's tyre popped whilst travelling at speed_ my partner then lost control of the vehicle as it veered onto the gravel. The car then spun around a few times and the rear driver's side wheel came off its rim. The car then ended up hitting and getting stuck on a fence.    IV POI - Front and rear driver's side wheels damaged and mud flaps gone. Driver's side front bumper_ bonnet and guard scratched. Grille loose. Driver's side f,No,NA,NA,No,5377.4,600,600,No,Suncorp,In force,Personal Insurance,Personal auto,"Automatic",1,14950,0,GOONDIWINDI,QLD,14950,0,0,0,2005,39.53,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1870,144,221,1,yes,8/21/2013,8/21/2014,0,0,0,0,0,0,1,0,0,1,NA,1,0,0,0,0,0,0,0,0,1,0,0,1
Damage Whilst Driven,Yes,No,No,No,,Yes,No,Yes,No,,Yes,Yes,No,No,No,Yes,No,No,No,No,Reject,Not at Fault,Phone,Motor Comprehensive,DIRECT,Monthly,Reject,Not at Fault,Phone,DIRECT,Monthly,Motor Comprehensive,4000,6148799,Closed,,,ST MARYS,NSW,Third Party Failed Right of Way,I was coming straight and she was about to turn left in give way sign.She did not stop and run into the left side of my car.    POI-IV: Rear PS door_ Rear PS bumper bar  POI-TP: Front DS bumper bar,No,NA,NA,No,0,625,0,No,AAMI,In force,Personal Insurance,Personal auto,"Automatic",0,12000,0,AUBURN,NSW,12000,0,0,30.43,2007,34.41,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,365,0,yes,1/13/2014,1/13/2015,0,0,0,1,1,0,1,0,0,1,NA,1,0,0,0,1,0,0,1,0,1,1,0,0
Theft,,,,,,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Reject,Not at Fault,Phone,Motor Comprehensive,DIRECT,Monthly,Reject,Not at Fault,Phone,DIRECT,Monthly,Motor Comprehensive,14425,6148955,Closed,,,ST MARYS,NSW,Theft of vehicle,I let my car be used by the person who is going to buy it for 2 weeks. We communicated for sometime but the lost contact I had with them was on 05/01/2014 and we lost contact. I already reported this to the police but they said that the  car is still registered under my name.    IV POI: unrecovered car,No,NA,NA,No,0,1675,1675,No,AAMI,In force,Personal Insurance,Personal auto,"Automatic",0,16100,0,NORTH MANLY,NSW,16100,5000,0,0,2003,55.49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11544,338,27,0,yes,2/1/2013,2/1/2014,0,0,0,0,0,0,1,0,0,1,NA,0,0,1,0,0,0,0,1,0,1,0,0,0
Damage Whilst Driven,,,,,,Yes,No,Yes,No,,Yes,Yes,No,No,No,No,No,No,No,No,Accept,No Fault,Phone,Motor Comprehensive,DIRECT,Monthly,Accept,No Fault,Phone,DIRECT,Monthly,Motor Comprehensive,0,6149034,Closed,,,CHELSEA,VIC,Hit a parked car,I was driving on the street and a dog ran the and i swerved to avoid the dog and hit a car parked on the side of the road.,No,NA,NA,No,0,625,625,No,AAMI,In force,Personal Insurance,Personal auto,"Automatic",0,3800,0,DANDENONG,VIC,3800,0,0,0,2000,56.12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8751,104,261,0,yes,9/25/2013,9/25/2014,0,0,0,1,1,0,1,0,0,1,NA,1,0,0,0,1,0,0,1,0,1,0,0,0
Damage Whilst Driven,,,,,,No,No,Yes,No,,No,Yes,No,No,No,No,No,No,No,No,Accept,At Fault,Phone,Motor Comprehensive,DIRECT,Monthly,Accept,At Fault,Phone,DIRECT,Monthly,Motor Comprehensive,0,6149125,Closed,,,HOBART,TAS,Insured Reversed into Third Party,1pm time of accident. I was reversing out of the car spot when I hit the car pulling out from behind.     IV-POI: tow bar (no damage)  TPV-POI:front bumper,No,NA,NA,No,-675,675,675,No,AAMI,In force,Personal Insurance,Personal auto,"Automatic",0,38200,0,ROKEBY,TAS,38200,29900,0,0,2009,26.77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,7,358,0,yes,1/6/2014,1/6/2015,0,0,0,1,1,0,1,0,0,1,NA,1,0,0,0,0,0,0,1,0,0,0,0,0
Other,,,,,,Yes,No,Yes,No,,Yes,Yes,No,No,No,No,No,No,No,No,Reject,At Fault,Phone,,DIRECT,Annual,Reject,At Fault,Phone,DIRECT,Annual,Motor Comprehensive,0,6149157,Closed,,,ALBION,QLD,Insured Alleged Cause of Incident,It was raining heavily_ my warning lights have triggered advising to take the vehicle in for service. I have continued to drive as normal as I believed the vehicle to register no problem after starting several times_ however they have remained active.   Upon service inspection_ Mercedes have found water has leaked through a loose cover into the fuse box in the engine bay. The resulting damage has affected the integrity of the airbags whic,No,NA,NA,No,0,500,500,No,Shannons,In force,Personal Insurance,Personal auto,"Automatic",0,37200,0,HAMILTON,QLD,37200,0,0,0,2004,45.37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7731,2004,187,0,yes,7/14/2008,7/14/2014,0,0,0,1,1,0,1,0,0,1,NA,0,0,0,0,0,0,0,1,0,1,0,0,0
Other,,,,,,Yes,No,Yes,No,,Yes,Yes,No,No,No,No,No,No,No,No,Accept,At Fault,Phone,Motor Comprehensive,INTERNET,Annual,Accept,At Fault,Phone,INTERNET,Annual,Motor Comprehensive,0,6149323,Closed,,,NEW LAMBTON HEIG,NSW,Insured Alleged Cause of Incident,I was reversing a fox trailer and jacked knifed it and hit the audi.    IV POI: PS Rear Bumper_ Whole and Dented,No,NA,NA,No,794.99,775,775,No,AAMI,In force,Personal Insurance,Personal auto,"Automatic",0,53000,0,HAMILTON SOUTH,NSW,53000,0,0,0,2011,53.12,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1444,6,359,0,yes,1/6/2014,1/6/2015,0,0,0,1,1,0,1,0,0,1,NA,0,0,0,0,0,0,0,1,0,1,0,0,0
Damage Whilst Driven,Yes,Yes,No,No,,Yes,Yes,No,Yes,,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Accept,At Fault,Phone,Motor Comprehensive,DIRECT,Annual,Accept,At Fault,Phone,DIRECT,Annual,Motor Comprehensive,0,6149356,Closed,,,FAWKNER,VIC,Insured Failed Right of Way,IO FAILED RIGHT OF WAY    I WAS TRAVELLING ON SYDNEY RD IN FAWKNER  AND TURNED RIGHT INTO DISNEY RD. I DIDN'T SEE TPV ON MY LEFT AND AS I PULLED OUT IN FRONT OF HIM WE HIT  IOV POI P/S  TPV POI FRONT,No,NA,NA,No,21284.2,625,625,No,AAMI,In force,Personal Insurance,Personal auto,"Automatic",0,12750,0,ROXBURGH PARK,VIC,12750,0,2005,38.48,2005,39.78,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,490,240,0,yes,9/10/2012,9/10/2014,0,0,0,0,0,0,1,1,0,1,NA,1,0,0,0,0,1,1,1,0,1,1,0,0
Damage Whilst Parked,,,,,,Yes,No,Yes,No,,Yes,Yes,No,No,No,No,No,No,No,No,Accept,Not at Fault,Phone,Motor Comprehensive,DIRECT,Monthly,Accept,Not at Fault,Phone,DIRECT,Monthly,Motor Comprehensive,0,6149668,Closed,,,CASUARINA,NT,Accidental Damage whilst parked,ACTUAL DATE AND TIME OF LOSS: 08/12/2013 at 3:30 PM  The painters were painting the outside structure near a car park.  We asked them if we need to move our car_ they told us that it's ok_ and that it won't affect our cars. But on the weekend_ as I was washing my car_ I've noticed the paint marks on my car_ like little paint marks everywhere.  I contacted the others that were parked as well on the same area_ and 11 other cars that we know,No,NA,NA,No,2456.3,450,0,No,AAMI,In force,Personal Insurance,Personal auto,"Automatic",0,32800,0,COCONUT GROVE,NT,32800,26000,0,0,2008,20.45,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36274,0,365,0,yes,12/19/2013,12/19/2014,0,0,0,1,1,0,1,0,0,1,NA,0,1,0,0,0,0,0,1,0,1,0,0,0
Damage Whilst Driven,,,,,,Yes,No,No,Yes,,Yes,No,No,Yes,No,No,No,No,No,No,Accept,At Fault,Phone,Motor Comprehensive,DIRECT,Monthly,Accept,At Fault,Phone,DIRECT,Monthly,Motor Comprehensive,0,6149775,Closed,,,Sylvania Waters,NSW,Collision with Stationary Object,incident time 12.20am 14/01/2014 -  i parked my car in the car park at the hawkesberry park boat ramp - i had loaded my boat and was about to move forward on the ramp when i have accidentally reversed - the vehicle has stalled and continued backwards into the river mostly submerged,Yes,1/14/2014,28800,No,47351.7,600,600,No,GIO,In force,Personal Insurance,Personal auto,"Automatic",1,49300,0,MASCOT,NSW,49300,0,0,0,2005,38.55,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,657,73,0,yes,3/27/2012,3/27/2014,0,1,0,0,0,0,1,1,0,1,NA,1,0,0,0,0,1,0,1,0,1,0,0,1
Damage Whilst Driven,Yes,No,Yes,No,,Yes,No,Yes,No,,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Reject,At Fault,Phone,Motor Comprehensive,DIRECT,Monthly,Reject,At Fault,Phone,DIRECT,Monthly,Motor Comprehensive,4350,6149847,Closed,,,QUAKERS HILL,NSW,Hit a parked car,I was reversing out of my driveway when I reversed into my son's friend's car parked on the side of the road.    IV POI - Rear Passenger side corner bumper    TPV POI - Driver's side rear door,No,NA,NA,No,0,650,650,No,GIO,In force,Personal Insurance,Personal auto,"Automatic",0,11000,0,QUAKERS HILL,NSW,11000,0,0,0,2001,41.06,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,36230,1,364,0,yes,12/18/2013,12/18/2014,0,0,0,1,1,1,1,0,0,1,NA,1,0,0,0,0,0,0,1,1,1,1,0,0
