agg__claimlosscause,claimlosscause,tpvehicledamage,tpvehicletowed,tpvehicledriveable,tpvehicletotalloss,tpvehiclerecovered,ivehicledamage,ivehicletowed,ivehicledriveable,ivehicletotalloss,ivehiclerecovered,trt__ivehicledamage,trt__ivehicledriveable,trt__ivehiclerecovered,trt__ivehicletotalloss,trt__ivehicletowed,trt__tpvehicledamage,trt__tpvehicledriveable,trt__tpvehiclerecovered,trt__tpvehicletotalloss,trt__tpvehicletowed,claimdecision,claimliability,claimlodgemethod,policyproducttype,policychannel,policypremiumbilling,new__claimdecision,new__claimliability,new__claimlodgemethod,new__policychannel,new__policypremiumbilling,new__policyproducttype,savings,claimid,claimstatus,claimcatastrophecode,claimcatastrophedesc,claimlosssuburb,claimlossstate,cls,claimincidentdescription,claimpolicenotified,claimpolicedate,claimpolicetime,claimfirenotified,claimreserve,claimexcesstotal,claimexcessapplicable,claimexcesswaived,policybrand,policystatus,policylob,policytype,policybillingrenewal,policyalterations,riskmotoragreedvalue,riskmotormarketvalue,risksuburb,riskstate,risksuminsured,riskmotorpurchaseprice,tpvehicleyear,tpvehicledriverage,ivehicleyear,ivehicledriverage,insured_parties,tp_parties,tp_parties_var,ActivityOwner,AdditionalInsured,Agent,AlternateContact,AnimalOwner,AppointmentContact,AssessmentLocation,Assessor,Broker,CaseManager,Claimant,ClaimantDependent,Complainant,Cyclist,DefenceBarrister,DefenceLawFirm,Defendant,Driver,Employee,Employer,Engineer,Executor,ExternalAssessor,Financier,FormerInsured,HireCarAgency,ImpactParty,IncidentParty,Informant,InjuredParty,Insured,InsuredRepresentative,Interestedparty,Investigator,LawEnforcementAgency,LegalCaseManager,ListedDriver,MainContact,MakeSafeProviderGeneralBuilder,Mortgagee,MotorRepairShop,NegotiationContact,Neighbour,Observer,Occupant,Other,OtherInsurer,Owner,OwningAgency,Passenger,Payee,Pedestrian,Plaintiff,PlaintiffLawFirm,PlaintiffsAttorney,Powerofattorney,PrimaryAssessor,RealEstateAgent,RecoveryAgent,RecoveryOnBehalfOf,RecoveryPayer,RepairShop,Repairer,Reporter,ResponsibleParty,ResponsiblePartyForIncident,SalvageService,ServiceProvider,SharpAgency,Supervisor,Supplier,Suspect,Swimmer,TPSettlementParty,Tenant,ThirdPartyInsurer,TowingAgency,TransportCarrier,UnitOwner,Vendor,Witness,claim_lag_losslodge,claim_lag_lossinception,claim_lag_lossalteration,fraud_class,prev_claims,POLICYINCEPTIONDATE,POLICYEXPIRYDATE,POLICYNBRCLAIMS,flag_claimpolicenotified,flag_claimfirenotified,flag_ivehicledriveable,flag_trt_ivehicledriveable,flag_trt_tpvehicledriveable,flag_prev_claims,flag_trt_ivehicletotalloss,flag_trt_tpvehicletotalloss,flag_newclaimlodgemethod_phone,new_claimlodgemethod_make,flag_aggclaimlosscause_driving,flag_aggclaimlosscause_parked,flag_aggclaimlosscause_theft,flag_aggclaimlosscause_hazard,flag_motorrepairshop,flag_salvageservice,flag_towingagency,alternate_fraud_class,flag_trt_tpvehicliedriveable,flag_trt_ivehicledamage,flag_trt_tpvehicledamage,flag_claimexcesswaived,flag_clsStat
Damage Whilst Driving,Damage Whilst Driven,,,,,,Yes,No,Yes,No,,Yes,Yes,No,No,No,No,No,No,No,No,Accept,At Fault,Phone,Motor Comprehensive,DIRECT,Annual,Accept,At Fault,Phone,DIRECT,Annual,Motor Comprehensive,0,6386665,Closed,,,CRAIGIEBURN,VIC,Collision with Stationary Object,I was reversing from my driveway and have hit the gate.    IO POI: ps side mirror_ ps side of IV,No,NA,NA,No,7912.34,1025,1025,No,AAMI,In force,Personal Insurance,Personal auto,"Automatic",0,18000,0,CRAIGIEBURN,VIC,18000,0,0,0,2014,25.93,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,7,358,0,yes,3/1/2014,3/1/2015,0,0,0,1,1,0,1,0,0,1,NA,1,0,0,0,1,0,1,1,0,1,0,0,1
Damage Whilst Driving,Damage Whilst Driven,Yes,No,Yes,No,,Yes,No,No,No,,Yes,No,No,No,No,Yes,Yes,No,No,No,Accept,At Fault,Phone,Motor Comprehensive,DIRECT,Monthly,Accept,At Fault,Phone,DIRECT,Monthly,Motor Comprehensive,0,6386670,Closed,,,BRUNSWICK WEST,VIC,Third Party Hit in Rear by Insured,I was driving along Brunswick Road. As we approached the intersection with Fleming St_ the car in front suddenly stopped. I wasn't able to stop on time and hit the back of her car.     IV POI: front bumper_ bonnet  TPV POI: rear bumper,No,NA,NA,No,12519.63,625,625,No,AAMI,In force,Personal Insurance,Personal auto,"Automatic",0,47000,0,SYDENHAM,VIC,47000,25000,0,0,2009,57.25,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,981,234,131,0,yes,7/16/2013,7/16/2014,0,0,0,0,0,1,1,0,0,1,NA,1,0,0,0,0,0,0,1,1,1,1,0,0
Damage Whilst Driving,Damage Whilst Driven,Yes,No,Yes,No,,Yes,Yes,No,No,,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Accept,Not at Fault,Phone,Motor Comprehensive,DIRECT,Annual,Accept,Not at Fault,Phone,DIRECT,Annual,Motor Comprehensive,0,6386678,Closed,,,UNANDERRA,NSW,Insured Hit in Rear by Third Party,I was stationary at a red light on Princes Highway in the intersection with Farmborough Road. When the light turned green_ I was about to move forward then the car behind me hit the back of my car.     IV POI: rear bumper_ sensor lights_ tail lights_ boot_ p/s rear quarter panel  TPV POI: front bumper,No,NA,NA,No,515.36,625,0,No,AAMI,In force,Personal Insurance,Personal auto,"Automatic",0,7200,0,CORDEAUX HEIGHTS,NSW,7200,0,0,0,2005,33.48,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,49,1,364,0,yes,3/7/2014,3/7/2015,0,0,0,0,0,1,1,0,0,1,NA,1,0,0,0,1,0,1,1,1,1,1,0,0
Other,Other,Yes,No,Yes,No,,Yes,No,Yes,No,,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Reject,No Fault,Phone,,INTERNET,Annual,Reject,No Fault,Phone,INTERNET,Annual,Motor Comprehensive,0,6386746,Closed,,,NEWTOWN,NSW,Insured Alleged Cause of Incident,***Date of incident 07/03/14***  IV was involved in accident    I was riding on king street and someone has tried to turn right from stephen street onto king street but did not see me and hit the front of my scooter. The person has come out and admitted fault at the scene of the accident and has agreed to pay for all repair costs for this accident.    IV POI: -front tyre  TPV POI: -front d/s corner,No,NA,NA,No,0,400,0,Ye,IMR,In force,Personal Insurance,Personal auto,"Automatic",0,3700,0,ANNANDALE,NSW,3700,0,0,44.7,2007,37.97,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214501,1095,1,0,no,10/11/2010,10/11/2013,1,0,0,1,1,1,0,0,0,1,NA,0,0,0,0,0,0,0,1,1,1,1,1,0
Theft,Theft,,,,,,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Accept,Not at Fault,Phone,Motor Comprehensive,DIRECT,Monthly,Accept,Not at Fault,Phone,DIRECT,Monthly,Motor Comprehensive,0,6386764,Closed,,,SOUTH MELBOURNE,VIC,Theft of vehicle,I parked my car yesterday at 4:00 pm in front of my house on the street. When I went out today I noticed that the car is missing.    IV POI: unrecovered theft,Yes,3/8/2014,39900,No,80558.93,625,625,No,AAMI,In force,Personal Insurance,Personal auto,"Automatic",0,55200,0,SOUTH MELBOURNE,VIC,55200,0,0,0,2013,41.79,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,33,332,0,yes,2/3/2014,2/3/2015,0,1,0,0,0,0,1,1,0,1,NA,0,0,1,0,1,0,0,1,0,1,0,0,0
Damage Whilst Parked,Damage Whilst Parked,,,,,,Yes,No,No,Yes,,Yes,No,No,Yes,No,No,No,No,No,No,Accept,Not at Fault,Phone,Motor Comprehensive,DIRECT,Monthly,Accept,Not at Fault,Phone,DIRECT,Monthly,Motor Comprehensive,0,6386808,Closed,,,PORT PIRIE,SA,Fire,I parked my car at the parking area around 09:30 PM last night to go fishing at Port Davis. When I returned around 12:45 AM I noticed that there was fire in the area and my friend and I tried to put out the fire. Then I noticed there was white ute that had burnt and realised that it was my ute. There was fire underneath the transmission. I dialled 000 to call the police. And the police arrived at the scene around 01:15 PM.    IV POI: comp,Yes,3/8/2014,12600,Ye,17353.45,2000,2000,No,AAMI,In force,Personal Insurance,Personal auto,"Automatic",0,18450,0,PORT PIRIE WEST,SA,18450,19000,0,0,2006,24.35,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,812,926,170,0,yes,8/25/2011,8/25/2014,0,1,1,0,0,0,1,1,0,1,NA,0,1,0,0,1,1,1,1,0,1,0,0,0
Damage Whilst Driving,Damage Whilst Driven,Yes,No,Yes,No,,Yes,Yes,No,No,,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Reject,At Fault,Phone,Motor Comprehensive,DIRECT,Monthly,Reject,At Fault,Phone,DIRECT,Monthly,Motor Comprehensive,0,6386917,Closed,,,BURWOOD,VIC,Third Party Failed Right of Way,I have been driving straight_ I have seen a car ahead but thought it was moving but it has been stopped.  I have then hit this car in the rear.  Iv damage Front end damages  TP damage - rear end damage,Yes,NA,NA,No,0,1225,0,No,AAMI,Void,Personal Insurance,Personal auto,"Automatic",0,4810,0,BURWOOD EAST,VIC,4810,3500,0,0,1996,23.88,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,316,49,0,yes,4/26/2013,4/26/2014,0,1,0,0,0,1,1,0,0,1,NA,1,0,0,0,1,0,0,1,1,1,1,0,0
Theft,Theft,,,,,,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Accept,Not at Fault,Phone,Motor Comprehensive,DIRECT,Monthly,Accept,Not at Fault,Phone,DIRECT,Monthly,Motor Comprehensive,0,6386921,Closed,,,BROWNS PLAINS,QLD,Theft of vehicle,I was @ a mates place and I got a call to come home as my car had been stolen from the front lawn outside my house.,Yes,3/8/2014,28800,No,21600,1400,1400,No,Suncorp,In force,Personal Insurance,Personal auto,"Automatic",0,23000,0,BROWNS PLAINS,QLD,23000,0,0,0,2006,20.47,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,360,5,0,yes,3/13/2013,3/13/2014,0,1,0,0,0,0,1,1,0,1,NA,0,0,1,0,0,0,0,1,0,1,0,0,0
Theft,Theft,,,,,,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Accept,Not at Fault,Phone,,INTERNET,Annual,Accept,Not at Fault,Phone,INTERNET,Annual,Motor Comprehensive,0,6386953,Closed,,,GYMEA,NSW,Theft of vehicle,police have arrived at my house notifying me that my car was stolen and had been burnt out,Yes,NA,NA,No,11731.43,825,825,No,JCI,In force,Personal Insurance,Personal auto,"Automatic",1,11850,0,MENAI,NSW,11850,7000,0,0,1997,21.53,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,475,327,38,0,yes,4/15/2013,4/15/2014,0,1,0,0,0,0,1,1,0,1,NA,0,0,1,0,0,1,1,1,0,1,0,0,0
Theft,Theft,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Accept,Not at Fault,Phone,,DIRECT,Quarterl,Accept,Not at Fault,Phone,DIRECT,Quarterl,Motor Comprehensive,0,6387015,Closed,,,COBURG,VIC,Theft of vehicle,I had parked the vehicle in the driveway. I haven't driven it for about a week_ but the last time I saw the car was around 11pm last night. I was asleep in bed when I heard noises outside. I then heard brakes squeaking and realised it was my car_ and by the time I got out my car was gone.,Yes,3/8/2014,22800,No,12382.67,900,500,No,Shannons,In force,Personal Insurance,Personal auto,"Automatic",0,11576,0,COBURG,VIC,11576,0,0,0,1968,42.42,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,26,4905,206,0,no,10/2/2000,9/30/2014,1,1,0,1,1,0,0,1,0,1,NA,0,0,1,0,1,0,1,1,0,1,0,0,0
Theft,Theft,,,,,,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Accept,Not at Fault,Phone,,DIRECT,Monthly,Accept,Not at Fault,Phone,DIRECT,Monthly,Motor Comprehensive,0,6387017,Closed,,,TARINGA,QLD,Theft of vehicle,I awoke this morning and discovered my doors were open and my keys and car had been stolen.,Yes,NA,NA,No,13229.66,1600,1600,No,JCI,In force,Personal Insurance,Personal auto,"Automatic",1,12500,0,TARINGA,QLD,12500,13000,0,0,1990,26.25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,47,729,1,0,yes,3/9/2012,3/9/2014,0,1,0,0,0,0,1,1,0,1,NA,0,0,1,0,0,1,1,1,0,1,0,0,0
Damage Whilst Driving,Damage Whilst Driven,,,,,,Yes,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,Accept,At Fault,Phone,Motor Comprehensive,DIRECT,Annual,Accept,At Fault,Phone,DIRECT,Annual,Motor Comprehensive,0,6387030,Closed,,,CHIPPING NORTON,NSW,Collision with Stationary Object,My friend was driving my car home this morning and he came around the corner and lost control of the car and he went into the gutter and damaged the car.    IV POI- p/s front panels & wheels,No,NA,NA,No,16054.98,1400,1400,No,Suncorp,In force,Personal Insurance,Personal auto,"Automatic",1,38200,0,VARSITY LAKES,QLD,38200,0,0,0,2008,26.76,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,7,358,0,yes,3/1/2014,3/1/2015,0,0,0,0,0,0,1,0,0,1,NA,1,0,0,0,1,0,0,1,0,1,0,0,1
Damage Whilst Parked,Damage Whilst Parked,Yes,Yes,No,No,,Yes,No,No,No,,Yes,No,No,No,No,Yes,No,No,No,Yes,Accept,Not at Fault,Phone,Motor Comprehensive,DIRECT,Annual,Accept,Not at Fault,Phone,DIRECT,Annual,Motor Comprehensive,0,6387055,Closed,,,SUNNYBANK,QLD,Accidental Damage whilst parked,My car was parked in the shopping centre car park. I came back to my car and noticed that someone had caused damage. The other driver (TP1) was waiting there and had also hit another parked car (TP2).     IV POI: d/s front b/b_ bonnet_ light_ 1/4 panel    TP1 POI: d/s and front end   TP2 POI: rear end,No,NA,NA,No,100.05,695,0,No,AAMI,In force,Personal Insurance,Personal auto,"Automatic",0,2340,0,BRENDALE,QLD,2340,0,0,-0.03,2000,24.24,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9628,3,362,0,yes,2/26/2014,2/26/2015,0,0,0,0,0,0,1,0,0,1,NA,0,1,0,0,0,0,0,1,0,1,1,0,0
Damage Whilst Driving,Damage Whilst Driven,Yes,No,No,No,,Yes,No,Yes,No,,Yes,Yes,No,No,No,Yes,No,No,No,No,Accept,At Fault,Phone,Motor Comprehensive,DIRECT,Monthly,Accept,At Fault,Phone,DIRECT,Monthly,Motor Comprehensive,0,6387151,Closed,,,CAROLINE SPRINGS,VIC,Insured Failed Right of Way,I was wanting to turn left into a car park from the road which is a small two way road with no line markings.  As I have gone to veer slightly to the right so I can turn left a car has come up from behind me on the left hand side and as I have turned I have collided with that car.TOA:11.30am EST  iv poi:p/s front door  tpv poi:d/s rear door,No,NA,NA,No,12151.68,1675,1675,No,AAMI,In force,Personal Insurance,Personal auto,"Automatic",0,21580,0,ALTONA MEADOWS,VIC,21580,0,2004,0,2005,26.89,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,4,361,0,yes,3/4/2014,3/4/2015,0,0,0,1,1,0,1,0,0,1,NA,1,0,0,0,0,0,1,1,0,1,1,0,0
Theft,Theft,,,,,,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Accept,Not at Fault,Phone,,DIRECT,Monthly,Accept,Not at Fault,Phone,DIRECT,Monthly,Motor Comprehensive,0,6387215,Closed,,,KEARSLEY,NSW,Theft of vehicle,"""Actual time of incident was 06.45am"" I have woken up this morning to find the caravan missing and have contacted the Police/",Yes,NA,NA,No,47300,200,200,No,CIL,In force,Personal Insurance,Personal auto,"Automatic",0,47500,0,KEARSLEY,NSW,47500,0,0,0,2006,57.31,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,778,318,0,yes,1/20/2012,1/20/2015,0,1,0,0,0,0,1,1,0,1,NA,0,0,1,0,0,0,0,1,0,1,0,0,0
Theft,Theft,,,,,,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Accept,Not at Fault,Phone,,DIRECT,Annual,Accept,Not at Fault,Phone,DIRECT,Annual,Motor Comprehensive,0,6387525,Closed,,,LALOR,VIC,Theft of vehicle,I HAD COME OUTSIDE WHEN I HAVE REALISED MY CAR WAS MISSING,Yes,NA,NA,No,12490.27,625,625,No,JCI,In force,Personal Insurance,Personal auto,"Automatic",1,12350,0,LALOR,VIC,12350,12000,0,0,1996,25.67,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618,1562,264,0,yes,11/26/2009,11/26/2014,0,1,0,0,0,0,1,1,0,1,NA,0,0,1,0,0,0,0,1,0,1,0,0,0
Theft,Theft,,,,,,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Accept,Not at Fault,Phone,Motor Comprehensive,DIRECT,Monthly,Accept,Not at Fault,Phone,DIRECT,Monthly,Motor Comprehensive,0,6387542,Closed,,,DREWVALE,QLD,Theft of vehicle,My son parked the car around 7pm at his house_ at 1am I was called by the police to say my car had fled an RBT at 10pm. My son was at home the whole time with his daughter. The car has been stolen some time between 7pm-10pm. The car has not been recovered.,Yes,3/8/2014,30600,No,13500,1200,1200,No,Suncorp,In force,Personal Insurance,Personal auto,"Automatic",1,14700,0,FORESTDALE,QLD,14700,0,0,0,2000,25.78,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,733,4869,244,0,yes,11/6/2000,11/6/2014,0,1,0,0,0,0,1,1,0,1,NA,0,0,1,0,0,0,0,1,0,1,0,0,0
Theft,Theft,,,,,,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Accept,Not at Fault,Phone,Motor Comprehensive,DIRECT,Monthly,Accept,Not at Fault,Phone,DIRECT,Monthly,Motor Comprehensive,0,6387618,Closed,,,MOUNT DRUITT,NSW,Theft of vehicle,I arrived at my parent in laws house and parked on the street. I went to leave around midnight and noticed my car was missing.    IV POI: Theft.,Yes,3/7/2013,86340,No,14571.5,600,600,No,GIO,In force,Personal Insurance,Personal auto,"Automatic",1,14000,0,BONNYRIGG,NSW,14000,14000,0,0,2001,41.85,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838,212,153,0,yes,8/7/2013,8/7/2014,0,1,0,0,0,0,1,1,0,1,NA,0,0,1,0,0,0,0,1,0,1,0,0,0
Damage Whilst Driving,Damage Whilst Driven,,,,,,Yes,No,Yes,No,,Yes,Yes,No,No,No,No,No,No,No,No,Accept,No Fault,Phone,Motor Comprehensive,DIRECT,Annual,Accept,No Fault,Phone,DIRECT,Annual,Motor Comprehensive,0,6387677,Closed,,,BOX HILL,VIC,Collision with Stationary Object,my wife was driving the car when she has scratched it on a concrete pillar coming out of a car park,No,NA,NA,No,2879.46,850,850,No,GIO,In force,Personal Insurance,Personal auto,"Automatic",0,47490,0,NUNAWADING,VIC,47490,0,0,0,2013,36.25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11615,5,360,0,yes,2/23/2014,2/23/2015,0,0,0,1,1,0,1,0,0,1,NA,1,0,0,0,1,0,0,1,0,1,0,0,1
Damage Whilst Driving,Damage Whilst Driven,Yes,No,Yes,No,,Yes,No,Yes,No,,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Accept,Not at Fault,Phone,Motor Comprehensive,DIRECT,Annual,Accept,Not at Fault,Phone,DIRECT,Annual,Motor Comprehensive,0,6387722,Closed,,,BURWOOD,NSW,Insured Hit in Rear by Third Party,I was driving along Parramatta Road when a third party vehicle hit me on the rear bumper while I was on stop.    IV POI- REAR BUMPER  TPV POI- FRONT BONNET,No,NA,NA,No,622.1,720,0,No,AAMI,In force,Personal Insurance,Personal auto,"Automatic",0,29000,0,GYMEA,NSW,29000,0,0,0,2012,33.84,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016,2,363,0,yes,3/5/2014,3/5/2015,0,0,0,1,1,1,1,0,0,1,NA,1,0,0,0,1,0,0,1,1,1,1,0,0
Theft,Theft,,,,,,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Accept,Not at Fault,Phone,,DIRECT,Monthly,Accept,Not at Fault,Phone,DIRECT,Monthly,Motor Comprehensive,0,6387731,Closed,,,HACKHAM,SA,Theft of vehicle,MY CAR WAS STOLEN OVER NIGHT. IT WAS PARKED IN MY DRIVE WAY.,Yes,3/8/2014,36000,No,12340,400,400,No,Vero Corpo,In force,Personal Insurance,Personal auto,"Automatic",0,11990,0,HACKHAM,SA,11990,0,0,0,2003,34.76,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,149,216,0,yes,10/10/2013,10/10/2014,0,1,0,0,0,0,1,1,0,1,NA,0,0,1,0,1,0,0,1,0,1,0,0,0
